,num_peaks
1,8337
2,8337
3,8337
4,8337
5,8337
6,8337
7,8337
8,8337
9,8337
10,8337
11,8337
12,8337
13,8337
14,8323
15,8328
16,8320
17,8337
18,8337
19,8337
20,8337
21,8323
22,8312
23,8324
24,8311
25,8315
26,8311
27,8309
28,8316
29,8305
30,8313
31,2158
32,2172
33,2061
34,2076
35,2179
36,2138
37,2197
38,2262
39,2443
40,2244
41,8304
42,8308
43,8292
44,8291
45,8278
46,8272
47,8281
48,8277
49,8276
50,8290
51,8337
52,8337
53,8331
54,8321
55,8316
56,8318
57,8313
58,8320
59,8328
60,8328
61,8307
62,8324
63,8318
64,8320
65,8318
66,8330
67,8321
68,8320
69,8323
70,8318
71,8309
72,8294
73,8320
74,8320
75,8300
76,8295
77,8302
78,8304
79,8299
80,8293
81,8243
82,8338
83,8338
84,8338
85,8260
86,8249
87,8338
88,8338
89,8260
90,8249
91,8331
92,8331
93,8331
94,8331
95,8331
96,8331
97,8331
98,8331
99,8331
100,8331
101,8337
102,8337
103,8337
104,8337
105,8337
106,8337
107,8337
108,8337
109,8337
110,8337
111,8337
112,8337
113,8337
114,8337
115,8337
116,8337
117,8337
118,8337
119,8337
120,8334
121,8303
122,8301
123,8306
124,8309
125,8294
126,8291
127,8291
128,8287
129,8292
130,8298
131,8310
132,8310
133,8307
134,8299
135,8308
136,8299
137,8286
138,8307
139,8303
140,8297
141,332
142,1824
143,1843
144,1809
145,1730
146,1747
147,1613
148,1714
149,1638
150,1784
151,8318
152,8300
153,8314
154,8310
155,8307
156,8303
157,8299
158,8294
159,8295
160,8299
161,8307
162,8314
163,8304
164,8295
165,8307
166,8317
167,8312
168,8309
169,8305
170,8314
171,8331
172,8331
173,8331
174,8331
175,8331
176,8331
177,8330
178,8330
179,8329
180,8330
181,8334
182,8334
183,8334
184,7928
185,6591
186,5261
187,4792
188,4535
189,4775
190,7194
191,8302
192,8313
193,8303
194,8296
195,8311
196,8324
197,8315
198,8315
199,8307
200,8304
201,8326
202,8337
203,8328
204,8321
205,8317
206,8323
207,8319
208,8332
209,8337
210,8334
211,8316
212,8318
213,8316
214,8307
215,8303
216,8301
217,8308
218,8320
219,8324
220,8310
221,8310
222,8295
223,8311
224,8305
225,8305
226,8295
227,8288
228,8297
229,8279
230,8306
231,8333
232,8335
233,8337
234,8337
235,8337
236,8337
237,8337
238,8337
239,8337
240,8337
241,8310
242,8304
243,8313
244,8310
245,8302
246,8311
247,8310
248,8309
249,8310
250,8311
251,8301
252,8317
253,8296
254,8286
255,8284
256,8293
257,8306
258,8292
259,8303
260,8319
261,8270
262,8315
263,8289
264,8303
265,8301
266,8319
267,8337
268,8332
269,8311
270,8293
271,8320
272,8315
273,8308
274,8311
275,8309
276,8304
277,8301
278,8304
279,8307
280,8310
281,8326
282,8325
283,8330
284,8323
285,8308
286,8307
287,8304
288,8316
289,8321
290,8317
291,8326
292,8330
293,8323
294,8322
295,8330
296,8331
297,8333
298,8334
299,8329
300,8330
301,8295
302,8297
303,8293
304,8298
305,8299
306,8299
307,8300
308,8299
309,8298
310,8297
311,8310
312,8300
313,8309
314,8307
315,8308
316,8306
317,8313
318,8314
319,8319
320,8305
321,8305
322,8302
323,8314
324,8300
325,8307
326,8310
327,8314
328,8304
329,8302
330,8299
331,8334
332,8332
333,8331
334,8331
335,8322
336,8321
337,8327
338,8325
339,8337
340,8314
341,8332
342,8334
343,8330
344,8331
345,8330
346,8328
347,8329
348,8301
349,8325
350,8324
351,8317
352,8326
353,8314
354,8324
355,8325
356,8330
357,8327
358,8325
359,8322
360,8325
361,8337
362,8337
363,8337
364,8334
365,8330
366,8337
367,8337
368,8337
369,8337
370,8337
371,8337
372,8337
373,8337
374,8328
375,8330
376,8327
377,8337
378,8334
379,8334
380,8334
381,8336
382,8337
383,8331
384,8317
385,8305
386,8329
387,8335
388,8337
389,8337
390,8337
391,8297
392,8298
393,8302
394,8301
395,8302
396,8299
397,8299
398,8295
399,8296
400,8299
401,8297
402,8307
403,8296
404,8297
405,8322
406,8321
407,8306
408,8313
409,8321
