"","g"
"1",0.946749252850084
"2",0.936980441764185
"3",0.937575107702365
"4",0.921481623746268
"5",0.935328400467996
"6",0.941051103610351
"7",0.943034523528733
"8",0.945232346495032
"9",0.941329160813764
"10",0.934098142775848
"11",0.294694763162151
"12",0.270685686279751
"13",0.263430861402924
"14",0.225023336364118
"15",0.223445038504088
"16",0.246142622029303
"17",0.27574899070239
"18",0.296025460250444
"19",0.255345481895901
"20",0.236939486737327
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",0.913260599613016
"32",0.904239064562659
"33",0.909193270848332
"34",0.880436424635342
"35",0.879832443497997
"36",0.869406222950198
"37",0.868642572310308
"38",0.861961889023241
"39",0.870222493906319
"40",0.880574178161174
"41",0.76914414568198
"42",0.752634987777855
"43",0.740743797890048
"44",0.72202622867507
"45",0.721822928477277
"46",0.717273505077907
"47",0.721260756630345
"48",0.738280803071235
"49",0.745206677964392
"50",0.757517826959278
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",0.946022837832582
"62",0.944788106824921
"63",0.944235960573521
"64",0.94384784793201
"65",0.943439670553328
"66",0.943789743101284
"67",0.944120215995665
"68",0.943696656486621
"69",0.943684792858386
"70",0.94317678148371
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",0.486887821424069
"92",0.46219651234032
"93",0.482673905540282
"94",0.548451200583257
"95",0.593653902909679
"96",0.603260108620264
"97",0.631883936209812
"98",0.622798785626244
"99",0.611808578601194
"100",0.573198238081189
"101",0.877308273807782
"102",0.865540017335382
"103",0.857423732202834
"104",0.846325459186583
"105",0.842596151566636
"106",0.838302359422557
"107",0.845923329388112
"108",0.858523608946146
"109",0.86782347654513
"110",0.871512378565257
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",0.584625625094588
"142",0.580826541285626
"143",0.563635867295819
"144",0.553946727890415
"145",0.539139021359926
"146",0.49976893673671
"147",0.488417530207731
"148",0.517733733327908
"149",0.506880912111118
"150",0.542602102951175
"151",0.228370579433228
"152",0.241918094490791
"153",0.237517367918682
"154",0.251131890350219
"155",0.243144389734593
"156",0.246726714400359
"157",0.240548118369333
"158",0.234759063285022
"159",0.220887084503624
"160",0.230181138747862
"161",0.317700275819033
"162",0.316572721499322
"163",0.299869299339204
"164",0.307343658733575
"165",0.325791927983638
"166",0.339149921180374
"167",0.350078864041376
"168",0.344282231733563
"169",0.311242119065303
"170",0.31606584738358
"171",0.044025835139319
"172",0.0458898051622666
"173",0.0472170286014485
"174",0.0464627897039944
"175",0.0420727573132901
"176",0.0416968925969913
"177",0.0412256483784979
"178",0.0428565924488926
"179",0.0433452055046831
"180",0.0436203474822396
"181",0.922625822242056
"182",0.915498208417762
"183",0.920203763550728
"184",0.920003320456606
"185",0.916591760098156
"186",0.910849535327451
"187",0.91372848808935
"188",0.915866023206418
"189",0.915555279467585
"190",0.916290916122504
"191",0.963890187984752
"192",0.963995735825904
"193",0.963954521003669
"194",0.963454705891856
"195",0.965018004283668
"196",0.965555139192886
"197",0.963763673520322
"198",0.967751298920343
"199",0.972971151226803
"200",0.965283196618203
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",0.931688581141066
"212",0.922675259767716
"213",0.926492126856644
"214",0.927719468343886
"215",0.927481182026109
"216",0.925007849827005
"217",0.923971548796721
"218",0.923948755869925
"219",0.923495989282918
"220",0.924207141905774
"221",NA
"222",NA
"223",NA
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",0.998737748870825
"232",0.99493005638469
"233",0.994973726762029
"234",0.996199000982194
"235",0.996472330241501
"236",0.996554105261601
"237",0.995987291892975
"238",0.995174157143858
"239",0.994536886322747
"240",0.993894316375665
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",0.689949325936874
"252",0.653315347552972
"253",0.644539550773747
"254",0.648867881222311
"255",0.648730527835432
"256",0.639403644155243
"257",0.646604954097948
"258",0.654714835520732
"259",0.66683981737281
"260",0.662084277773128
"261",0.584577218292678
"262",0.554041875219602
"263",0.558216866220144
"264",0.555304327267484
"265",0.554173781109899
"266",0.556097982973309
"267",0.558969375060515
"268",0.555435991458439
"269",0.566258990419008
"270",0.564640700465827
"271",NA
"272",NA
"273",NA
"274",NA
"275",NA
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",NA
"282",NA
"283",NA
"284",NA
"285",NA
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",NA
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",0.579134591438187
"312",0.585200859450788
"313",0.582772924959022
"314",0.573265059172335
"315",0.564699263818383
"316",0.565531572296574
"317",0.568570641554323
"318",0.575392547684874
"319",0.578667876615757
"320",0.591568406527779
"321",0.822073613098299
"322",0.828303000050973
"323",0.826983377695632
"324",0.826185428104871
"325",0.822626834823782
"326",0.822052464062859
"327",0.823782125471188
"328",0.822954766773491
"329",0.823281205616107
"330",0.830423820547076
"331",NA
"332",NA
"333",NA
"334",NA
"335",NA
"336",NA
"337",NA
"338",NA
"339",NA
"340",NA
"341",0.746807990608074
"342",0.741047138346249
"343",0.744089161439587
"344",0.751961771049537
"345",0.750694696087632
"346",0.749200356667841
"347",0.751502555918509
"348",0.757668479089866
"349",0.753888608760978
"350",0.748531960522722
"351",0.709362865106178
"352",0.710934688921975
"353",0.710437787310368
"354",0.717288385935374
"355",0.706504243142884
"356",0.712100636806831
"357",0.70960882693037
"358",0.714975346355479
"359",0.70758743494409
"360",0.708111376604218
"361",0.199937673693247
"362",0.198815883215307
"363",0.196724602732108
"364",0.191581000984475
"365",0.17317022075191
"366",0.164772775118302
"367",0.159845141191198
"368",0.169411852618059
"369",0.175153000281209
"370",0.183601973892495
"371",0.139248113901647
"372",0.145319259183193
"373",0.156553686008317
"374",0.151593626830699
"375",0.141998993745302
"376",0.149978113165284
"377",0.14990046409541
"378",0.149743426444431
"379",0.140016538499801
"380",0.134583895728338
"381",0.103204694968743
"382",0.107279637309995
"383",0.109449582971227
"384",0.106704486505546
"385",0.101200251712321
"386",0.108515113384459
"387",0.110998401700962
"388",0.116997525910794
"389",0.112032193371649
"390",0.107948416501623
"391",0.342623601581204
"392",0.273701680751114
"393",0.26816958629089
"394",0.273985490693516
"395",0.314979284067518
"396",0.361716083562416
"397",0.33599121982021
"398",0.281837526573104
"399",0.271297222441945
"400",0.267605834381521
"401",0.425891038857868
"402",0.428820375209862
"403",0.478633037561184
"404",0.49911709476217
"405",0.560331102878262
"406",0.57937139869894
"407",0.599699677494615
"408",0.577912139081269
"409",0.573282488703973
"410",0.537945500207595
"411",0.380036232073445
"412",0.361625980795433
"413",0.354873991462523
"414",0.354036840902442
"415",0.362908194542599
"416",0.370641410391377
"417",0.355822311744542
"418",0.333635527728536
"419",0.343144526057018
"420",0.361300907571391
"421",0.830923650852895
"422",0.799985089216654
"423",0.812127606951712
"424",0.748663779137381
"425",0.731408040350922
"426",0.722733698388518
"427",0.742568571438029
"428",0.750744572415321
"429",0.744208254772123
"430",0.728884679736052
"431",0.860069668543196
"432",0.827443022266553
"433",0.835247294703803
"434",0.746657152792541
"435",0.741909619337664
"436",0.733527409149573
"437",0.766816994478631
"438",0.779288735030433
"439",0.772186750636264
"440",0.735719712977743
"441",0.210877087223992
"442",0.204115132703567
"443",0.190946679286838
"444",NA
"445",NA
"446",NA
"447",NA
"448",NA
"449",0.18821636551619
"450",0.185001403595089
"451",0.38202306062289
"452",0.363866772659439
"453",0.357196834304984
"454",0.356388688136206
"455",0.364847645674663
"456",0.37210647420633
"457",0.357147493606161
"458",0.33532384613097
"459",0.345285709849007
"460",0.363816809875727
"461",0.655266010458051
"462",0.655266010458051
"463",0.655266010458051
"464",0.655266010458051
"465",0.655266010458051
"466",0.655266010458051
"467",0.655266010458051
"468",0.655266010458051
"469",0.655266010458051
"470",0.655266010458051
"471",0.340314234339997
"472",0.339518576649856
"473",0.321396172384232
"474",0.316957864925993
"475",0.31495215317072
"476",0.330103927668103
"477",0.327104328007915
"478",0.311735832189493
"479",0.294098993426069
"480",0.305319385361166
"481",0.630021823314518
"482",0.630832224761346
"483",0.670792750039827
"484",0.696638795193044
"485",0.740120324111043
"486",0.737942369557537
"487",0.749168149150039
"488",0.735070257965771
"489",0.740157006966762
"490",0.742087293915008
"491",0.753983122189003
"492",0.770347745826511
"493",0.763024896835253
"494",0.78915478641182
"495",0.84525296570278
"496",0.850463329973172
"497",0.84533382553947
"498",0.833159676400814
"499",0.830515216875043
"500",0.809781814002459
"501",0.49283937134022
"502",0.490148216729954
"503",0.483239553552865
"504",0.46710860393512
"505",0.43854063669861
"506",0.4161492399612
"507",0.403320168292109
"508",0.423614327773697
"509",0.439241763273176
"510",0.456145388631959
"511",0.102880047709759
"512",0.107003107677419
"513",0.109178795634921
"514",0.106547779651702
"515",0.101306877723733
"516",0.108740458792149
"517",0.111153453359022
"518",0.116976045360928
"519",0.111864696467953
"520",0.107747346993821
"521",0.386412262896523
"522",0.357820175780165
"523",0.343508196649594
"524",0.345103849059014
"525",0.362244476210646
"526",0.372631366834279
"527",0.350607021884401
"528",0.321685359403758
"529",0.328581233639011
"530",0.356324379972528
"531",0.0160853693150411
"532",0.0160690896452816
"533",0.0164789836787045
"534",0.0165719054108378
"535",0.0164252535227023
"536",0.0163706347572854
"537",0.0163109380880581
"538",0.0157169068157019
"539",0.0146639002048656
"540",0.0144775696541102
"541",0.489285561504631
"542",0.475238633425619
"543",0.47522936669294
"544",0.476958871322002
"545",0.473236055782348
"546",0.466711013934375
"547",0.460594360317837
"548",0.462307311023118
"549",0.465056723739218
"550",0.461953016366491
"551",0.119165579478951
"552",0.1136816447746
"553",0.113535179714595
"554",0.11480314969529
"555",0.116515643412826
"556",0.114583546367136
"557",0.112718168363712
"558",0.113613515596484
"559",0.114832527605141
"560",0.116630901372412
"561",NA
"562",NA
"563",NA
"564",NA
"565",NA
"566",NA
"567",NA
"568",NA
"569",NA
"570",NA
"571",0.509580777498971
"572",0.504942001362665
"573",0.502441156904794
"574",0.501767561560893
"575",0.505034127490704
"576",0.504490689074359
"577",0.503139360243566
"578",0.504580645052338
"579",0.506370085155084
"580",0.504489339754611
"581",0.498142217884688
"582",0.498261644466181
"583",0.498385954629415
"584",0.500973478117698
"585",0.500710894158863
"586",0.500355125070886
"587",0.49969318919346
"588",0.5017342084017
"589",0.500389839004785
"590",0.499288905183687
"591",0.0261590419581458
"592",0.0262067762923435
"593",0.0262342544424009
"594",0.0263926805194922
"595",0.0264813028030563
"596",0.0265298482663569
"597",0.0265186343270725
"598",0.0266574543701481
"599",0.026764309391769
"600",0.0269450605437013
"601",0.0413306817401703
"602",0.0405397717909601
"603",0.0407471592528188
"604",0.0415406962557523
"605",0.0404334495162621
"606",0.0410302696650211
"607",0.0411942747777695
"608",0.0411709495097101
"609",0.0418462927908388
"610",0.0414539643026815
"611",0.0423139295944503
"612",0.0415543581062009
"613",0.0423905657579643
"614",0.0432387335350731
"615",0.0418053012079756
"616",0.0418359121681038
"617",0.0416712588762019
"618",0.0415363511593861
"619",0.0420781151963463
"620",0.0416728912039268
"621",0.0421511180721449
"622",0.041176227948327
"623",0.0417408044552868
"624",0.0425562635216591
"625",0.0413635951729754
"626",0.041795213061006
"627",0.041791625986323
"628",0.041593467309531
"629",0.0423664905902812
"630",0.042147765746716
"631",0.0387792242907577
"632",0.0402484872066337
"633",0.0421562985820635
"634",0.0438840164511824
"635",0.0396047894157899
"636",0.0427225914081328
"637",0.0433703586761008
"638",0.0442376796497563
"639",0.0421585832405418
"640",0.0404906488402193
"641",0.0458773561890656
"642",0.0477769387630779
"643",0.0492387687655405
"644",0.048477711172536
"645",0.0440099271508645
"646",0.0434475387323897
"647",0.0429465968807559
"648",0.0445186870741012
"649",0.0452339297287783
"650",0.0456996493349955
"651",0.00807217534566695
"652",0.00703719662430937
"653",0.00645480984350003
"654",0.00679612824677164
"655",0.00585170570194803
"656",0.00620105497608523
"657",0.00631775149922418
"658",0.00633199618801715
"659",0.00697248718659319
"660",0.00717936341373809
"661",0.00991826498987737
"662",0.00983258932145515
"663",0.00964806622971202
"664",0.00930713851899118
"665",0.00944509913762382
"666",0.00951841032541159
"667",0.00917707166811584
"668",0.00951592388597462
"669",0.00966980179736529
"670",0.00922516743874481
